BUILDING ID,REGISTRATION ID,BOROUGH,NUMBER,STREET,VACATE ORDER NUMBER,PRIMARY VACATE REASON,VACATE TYPE,VACATE EFFECTIVE DATE,RESCIND DATE,NUMBER OF VACATED UNITS,POSTCODE,LATITUDE,LONGITUDE,COMMUNITY BOARD,COUNCIL DISTRICT,CENSUS TRACT,BIN,BBL,NTA
564085,0,QN,115-59,157 STREET,145679,Illegal Occupancy,Partial,09/26/2018,,1,11434,40.68547,-73.78710,12,28,276,4264572,4121970059,Baisley Park
97675,215088,BX,632,MORRIS AVENUE,113738,Habitability,Partial,01/15/2014,,2,10451,40.81926,-73.92190,1,17,67,2001872,2024110008,Melrose South-Mott Haven North                                             
97662,220765,BX,562,MORRIS AVENUE,107630,Illegal Occupancy,Partial,05/08/2013,,1,10451,40.81794,-73.92249,1,17,65,2000919,2023310007,Melrose South-Mott Haven North                                             
531008,0,QN,111-43,117 STREET,139431,Illegal Occupancy,Partial,07/18/2017,09/17/2018,1,11420,40.67973,-73.82289,10,28,102,4250406,4116220046,South Ozone Park
129266,319294,BK,5520,4 AVENUE,145610,Fire Damage,Partial,09/13/2018,,1,11220,40.64351,-74.01567,7,38,76,3014912,3008300043,Sunset Park West
383111,818685,BK,1248,UNION STREET,143954,Illegal Occupancy,Partial,05/01/2018,09/04/2018,1,11225,40.66888,-73.94949,9,35,319,3033243,3012760020,Crown Heights South
309593,817000,BK,611,HEGEMAN AVENUE,145740,Illegal Occupancy,Partial,09/26/2018,,1,11207,40.66105,-73.88908,5,42,1128,3096674,3043020044,East New York (Pennsylvania Ave)
362195,0,BK,477,RIDGEWOOD AVENUE,145655,Habitability,Entire Building,09/13/2018,,2,11208,40.68581,-73.87119,5,37,118201,3091791,3041200037,Cypress Hills-City Line
47179,217879,BX,3013,BARKER AVENUE,145664,Fire Damage,Partial,09/27/2018,,1,10467,40.86998,-73.86930,12,15,336,2054731,2045430043,Bronxdale
383123,354214,BK,1281,UNION STREET,144040,Fire Damage,Partial,05/08/2018,09/07/2018,1,11225,40.66892,-73.94967,9,35,319,3324534,3012690063,Crown Heights South
38265,108428,MN,315,WEST 115 STREET,144044,Fire Damage,Partial,05/10/2018,09/14/2018,2,10026,40.80397,-73.95637,10,9,20102,1055851,1018480042,Central Harlem South
97571,209118,BX,2420,MORRIS AVENUE,141028,Fire Damage,Partial,10/27/2017,,4,10468,40.86118,-73.90016,5,14,23703,2013904,2031730013,Fordham South                                                              
97557,202501,BX,2338,MORRIS AVENUE,68121,Illegal Occupancy,Partial,09/30/2013,,3,10468,40.85905,-73.90133,5,14,23703,2013886,2031720016,Fordham South                                                              
665079,0,QN,135-08,HOOK CREEK BOULEVARD,134774,Illegal Occupancy,Partial,01/12/2017,09/17/2018,1,11422,40.66995,-73.72865,13,31,638,4284327,4132270014,Rosedale
97557,202501,BX,2338,MORRIS AVENUE,111295,Fire Damage,Partial,09/30/2013,,1,10468,40.85905,-73.90133,5,14,23703,2013886,2031720016,Fordham South                                                              
3843,100517,MN,849,7 AVENUE,142907,Fire Damage,Partial,02/15/2018,09/21/2018,1,10019,40.76390,-73.98120,5,4,137,1023388,1010070061,Midtown-Midtown South
187416,339605,BK,801,AVENUE C,144361,Fire Damage,Partial,05/31/2018,09/21/2018,1,11218,40.64121,-73.97106,12,40,492,3125609,3053600048,Kensington-Ocean Parkway
270106,307701,BK,832,LINDEN BOULEVARD,138278,Fire Damage,Partial,06/12/2017,09/21/2018,3,11203,40.65401,-73.92718,17,41,866,3102245,3046790006,Rugby-Remsen Village
19382,135298,MN,214,EAST 111 STREET,145657,Illegal Occupancy,Partial,09/24/2018,,1,10029,40.79451,-73.94179,11,8,180,1052482,1016600042,East Harlem North
97523,206333,BX,2200,MORRIS AVENUE,118206,Fire Damage,Partial,07/24/2014,,1,10453,40.85637,-73.90301,5,14,23704,2013851,2031700021,Fordham South                                                              
413262,400311,QN,21-51,27 STREET,145473,Fire Damage,Partial,09/13/2018,,2,11105,40.77856,-73.91213,1,22,103,4018291,4008570013,Steinway
97492,200916,BX,2038,MORRIS AVENUE,111657,Fire Damage,Partial,10/10/2013,,1,10453,40.85285,-73.90586,5,14,241,2007667,2028070052,Mount Hope                                                                 
423547,916357,QN,22-24,36 STREET,126594,Illegal Occupancy,Partial,10/30/2015,08/30/2018,1,11105,40.77379,-73.90890,1,22,117,4016439,4008220042,Steinway
701891,0,QN,57-11,VAN DOREN STREET,98848,Illegal Occupancy,Partial,09/19/2012,04/25/2018,1,11368,40.73988,-73.85237,4,21,43701,4048400,4019670071,Corona
162283,340219,BK,901,60 STREET,145742,Fire Damage,Partial,09/27/2018,,6,11219,40.63401,-74.00708,12,38,116,3140935,3057080060,Borough Park
26985,106234,MN,110,POST AVENUE,142084,Fire Damage,Partial,01/04/2018,09/14/2018,1,10034,40.86440,-73.92051,12,10,293,1064782,1022220035,Marble Hill-Inwood
97426,204772,BX,1711,MORRIS AVENUE,122058,Illegal Occupancy,Partial,02/24/2015,09/04/2015,1,10457,40.84452,-73.90941,4,15,22703,2007873,2028240051,Mount Hope                                                                 
974216,431998,QN,34-39A,107 STREET,134436,Fire Damage,Partial,12/15/2016,01/19/2017,1,11368,40.75522,-73.86143,3,21,381,4538541,4017490073,North Corona                                                               
3423,125427,MN,201,WEST 120 STREET,140169,Fire Damage,Partial,09/08/2017,,1,10027,40.80596,-73.95106,10,9,220,1079501,1019260029,Central Harlem South
387743,325466,BK,374,WALLABOUT STREET,145586,Fire Damage,Entire Building,09/13/2018,,6,11206,40.70203,-73.94806,1,33,507,3061430,3022660013,Bedford
19289,106866,MN,158,EAST 110 STREET,145673,Fire Damage,Partial,10/03/2018,,7,10029,40.79456,-73.94385,11,8,172,1052162,1016370048,East Harlem South
97375,202246,BX,1330,MORRIS AVENUE,110548,Fire Damage,Partial,07/24/2013,,1,10456,40.83644,-73.91222,4,16,17702,2007274,2027850016,East Concourse-Concourse Village                                           
22802,112151,MN,197,HESTER STREET,145703,Fire Damage,Partial,10/03/2018,,3,10013,40.71827,-73.99821,2,1,41,1003085,1002360033,SoHo-TriBeCa-Civic Center-Little Italy
97318,209224,BX,1062,MORRIS AVENUE,139232,Illegal Occupancy,Partial,07/18/2017,,1,10456,40.82991,-73.91604,4,16,175,2002387,2024370015,East Concourse-Concourse Village                                           
65799,713261,BX,230,EAST 176 STREET,144275,Illegal Occupancy,Partial,05/25/2018,,2,10457,40.84747,-73.90539,5,15,22901,2007532,2028000061,Mount Hope
546681,0,QN,102-24,134 STREET,146062,Illegal Occupancy,Partial,10/30/2018,,1,11419,40.69237,-73.81316,9,28,152,4201177,4095010022,Richmond Hill
854865,0,BK,964,GLENMORE AVENUE,146157,Illegal Occupancy,Partial,11/01/2018,,1,11208,40.67636,-73.87435,5,42,1196,3387651,3042110017,East New York
971747,14277,SI,143,SWAIM AVENUE,130387,Illegal Occupancy,Partial,06/09/2016,,1,10312,40.52193,-74.18321,3,51,176,5111424,5065390050,Annadale-Huguenot-Prince's Bay-Eltingville                                 
95032,206200,BX,3011,MATTHEWS AVENUE,123034,Illegal Occupancy,Partial,04/22/2015,,1,10467,40.87001,-73.86244,12,12,340,2055691,2045720044,Bronxdale                                                                  
806197,211464,BX,1892,MORRIS AVENUE,146144,Fire Damage,Partial,11/01/2018,,1,10453,40.84935,-73.90812,5,14,23301,2007622,2028050031,Mount Hope
11100,105810,MN,202,EAST 7 STREET,145682,Fire Damage,Partial,10/03/2018,,3,10009,40.72464,-73.98019,3,2,2602,1004677,1003890019,Lower East Side
117422,0,BX,536,VAN NEST AVENUE,146011,Illegal Occupancy,Partial,10/23/2018,,1,10460,40.84139,-73.86974,11,15,240,2042711,2040220005,Van Nest-Morris Park-Westchester Square
352194,348767,BK,148,PARKSIDE AVENUE,144056,Fire Damage,Partial,05/10/2018,10/01/2018,1,11226,40.65423,-73.96352,14,40,50804,3115911,3050530010,Flatbush
96887,202951,BX,1750,MONTGOMERY AVENUE,127182,Fire Damage,Partial,12/14/2015,,13,10453,40.85061,-73.91827,5,14,21501,2009008,2028780132,University Heights-Morris Heights                                          
434874,401458,QN,11-14,46 AVENUE,144109,Fire Damage,Partial,06/05/2018,10/29/2018,1,11101,40.74629,-73.94971,2,26,7,4000470,4000550029,Hunters Point-Sunnyside-West Maspeth
287885,314877,BK,576,EASTERN PARKWAY,141705,Fire Damage,Partial,11/29/2017,10/12/2018,1,11225,40.66979,-73.94931,9,35,319,3032934,3012690020,Crown Heights South
5810,106212,MN,501,WEST 168 STREET,134193,Fire Damage,Partial,11/17/2016,,1,10032,40.83997,-73.93713,12,10,251,1076744,1021250049,Washington Heights South
301422,0,BK,7901,GLENWOOD ROAD,145741,Illegal Occupancy,Partial,10/17/2018,,1,11236,40.63655,-73.91566,18,46,950,3223537,3079840010,Canarsie
968463,916378,QN,105-11,169 STREET,96892,Illegal Occupancy,Partial,07/12/2012,02/12/2016,1,11433,40.70106,-73.78804,12,27,440,4218176,4102380013,South Jamaica                                                              
270941,304663,BK,209,EAST 55 STREET,145804,Illegal Occupancy,Partial,10/03/2018,,1,11203,40.65300,-73.92566,17,41,864,3397925,3046810050,Rugby-Remsen Village
967923,13791,SI,416,JERSEY STREET,125701,Illegal Occupancy,Partial,10/06/2015,,1,10301,40.63814,-74.08748,1,49,77,5115531,5000470109,West New Brighton-New Brighton-St. George                                  
189339,0,BK,8212,AVENUE J,146117,Illegal Occupancy,Partial,11/01/2018,,1,11236,40.63500,-73.90966,18,46,996,3225642,3080340040,Canarsie
351451,818291,BK,1275,PARK PLACE,146019,Illegal Occupancy,Partial,10/30/2018,,3,11213,40.67262,-73.93509,8,36,345,3036198,3013650079,Crown Heights North
126092,713281,BX,3214,YATES AVENUE,146061,Illegal Occupancy,Partial,10/30/2018,,1,10469,40.87170,-73.85455,11,12,348,2056695,2046150012,Allerton-Pelham Gardens
634236,415924,QN,179,BEACH 115 STREET,145689,Fire Damage,Partial,09/26/2018,10/03/2018,1,11694,40.57952,-73.83595,14,32,938,4303935,4161880017,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
96746,214545,BX,1824,MOHEGAN AVENUE,135053,Habitability,Entire Building,01/20/2017,,3,10460,40.84058,-73.88828,6,17,367,2010116,2029580039,East Tremont                                                               
96746,214545,BX,1824,MOHEGAN AVENUE,133423,Habitability,Entire Building,09/22/2016,,3,10460,40.84058,-73.88828,6,17,367,2010116,2029580039,East Tremont                                                               
85121,0,BX,4202,HILL AVENUE,145362,Illegal Occupancy,Partial,08/13/2018,10/24/2018,1,10466,40.89642,-73.84119,12,12,448,2069521,2050300032,Woodlawn-Wakefield
985456,819112,BK,843 REAR,KENT AVENUE,145383,Illegal Occupancy,Partial,08/16/2018,,1,11205,40.69529,-73.95952,3,33,1237,3322318,3018980012,Bedford
967088,814807,BK,862,ELTON STREET,125243,Habitability,Entire Building,09/08/2015,,1,11208,40.66225,-73.87830,5,42,1116,3342364,3043600031,East New York                                                              
966500,814615,BK,1641,CANARSIE ROAD,131877,Illegal Occupancy,Partial,07/20/2016,,1,11236,40.63269,-73.89338,18,46,1024,3389755,3082960025,Canarsie                                                                   
375199,317461,BK,114,ST NICHOLAS AVENUE,142897,Illegal Occupancy,Partial,02/08/2018,10/01/2018,3,11237,40.70559,-73.91838,4,37,445,3073684,3032380031,Bushwick North
216763,0,BK,1518,CANARSIE ROAD,143746,Illegal Occupancy,Partial,04/17/2018,10/04/2018,1,11236,40.63468,-73.89679,18,46,1008,3233471,3082750044,Canarsie
211553,815023,BK,729,BRADFORD STREET,146018,Illegal Occupancy,Partial,10/17/2018,,1,11207,40.66096,-73.88810,5,42,1104,3097440,3043270044,East New York
683398,920877,QN,110-03,GUY R BREWER BOULEVARD,133842,Illegal Occupancy,Partial,10/25/2016,,1,11433,40.69321,-73.78878,12,27,264,4216907,4101900040,South Jamaica
964,131098,MN,1596,2 AVENUE,135965,Fire Damage,Entire Building,03/01/2017,,8,10028,40.77577,-73.95326,8,5,138,1049908,1015450050,Yorkville                                                                  
962,108421,MN,1594,2 AVENUE,135960,Fire Damage,Entire Building,03/01/2017,,8,10028,40.77572,-73.95330,8,5,138,1049909,1015450051,Yorkville                                                                  
553792,0,QN,111-35,144 STREET,145873,Illegal Occupancy,Partial,10/17/2018,,1,11435,40.68546,-73.80027,12,28,194,4258657,4119600021,South Jamaica
671882,0,QN,92-28,LAMONT AVENUE,146041,Illegal Occupancy,Partial,11/01/2018,,2,11373,40.74524,-73.87323,4,25,463,4039337,4015750001,Elmhurst
9610,113039,MN,188,CLAREMONT AVENUE,107755,Fire Damage,Partial,05/01/2013,,1,10027,40.81473,-73.96028,9,7,211,1059862,1019930105,Morningside Heights                                                        
541062,0,QN,104-42,128 STREET,145871,Illegal Occupancy,Partial,10/16/2018,,1,11419,40.68857,-73.81687,10,28,15802,4204714,4095810027,South Ozone Park
792222,0,SI,23,WALKER STREET,141296,Illegal Occupancy,Partial,11/09/2017,10/29/2018,1,10302,40.62997,-74.14134,1,49,213,5026234,5011310020,Port Richmond
958165,915337,QN,177-07,145 DRIVE,121884,Illegal Occupancy,Partial,02/15/2015,,1,11434,40.66415,-73.77039,13,31,306,4533020,4132930093,Springfield Gardens South-Brookville                                       
95804,217978,BX,1116,METCALF AVENUE,130885,Illegal Occupancy,Partial,06/14/2016,,4,10472,40.82810,-73.87227,9,18,68,2024065,2037470097,Soundview-Bruckner                                                         
530896,401915,QN,104-28,117 STREET,144961,Fire Damage,Partial,08/10/2018,10/12/2018,2,11419,40.68561,-73.82579,10,28,104,4204082,4095700016,South Ozone Park
67119,211205,BX,112,EAST 198 STREET,145609,Fire Damage,Entire Building,10/03/2018,,8,10468,40.87059,-73.89172,7,14,40303,2017460,2033150049,Van Cortlandt Village
957266,915132,QN,168-37,104 AVENUE,122597,Illegal Occupancy,Partial,04/03/2015,,1,11433,40.70191,-73.78921,12,27,440,4526147,4102220131,South Jamaica                                                              
252336,0,BK,1141,EAST 26 STREET,146043,Illegal Occupancy,Partial,10/23/2018,,1,11210,40.62293,-73.94999,14,45,754,3208501,3076260028,Midwood
957048,915187,QN,88-04,102 STREET,120402,Illegal Occupancy,Partial,12/10/2014,,1,11418,40.69361,-73.84466,9,32,28,4534350,4092860063,Richmond Hill                                                              
956798,227598,BX,855,COURTLANDT AVENUE,139058,Fire Damage,Partial,07/18/2017,12/27/2017,2,10451,40.82425,-73.91580,3,17,141,2000000,2024197501,Morrisania-Melrose                                                         
185359,818934,BK,167,ATKINS AVENUE,141185,Illegal Occupancy,Partial,11/09/2017,10/04/2018,1,11208,40.67500,-73.87910,5,37,1192,3089029,3040070007,East New York
368448,0,BK,9109,SEAVIEW AVENUE,143266,Illegal Occupancy,Partial,03/07/2018,10/18/2018,1,11236,40.63098,-73.89409,18,46,1024,3234203,3082940006,Canarsie
986699,0,QN,145-29,229 STREET,146010,Illegal Occupancy,Partial,10/31/2018,,1,11413,40.66113,-73.75102,13,31,680,4000000,4134860027,Springfield Gardens South-Brookville
916804,0,QN,240-20,MEMPHIS AVENUE,145997,Illegal Occupancy,Partial,10/30/2018,,1,11422,40.66508,-73.73888,13,31,654,4288261,4135600039,Rosedale
41668,113244,MN,541,WEST 142 STREET,145704,Fire Damage,Partial,10/17/2018,,5,10031,40.82397,-73.95055,9,7,229,1061845,1020740007,Hamilton Heights
519009,914670,QN,171-32,108 AVENUE,145848,Illegal Occupancy,Partial,10/16/2018,,1,11433,40.69923,-73.78439,12,27,414,4218575,4102550003,South Jamaica
5773,100471,MN,2100,AMSTERDAM AVENUE,137478,Illegal Occupancy,Partial,05/26/2017,10/24/2018,1,10032,40.83728,-73.93881,12,7,24301,1062901,1021210047,Washington Heights South
96836,206994,BX,1482,MONTGOMERY AVENUE,140459,Fire Damage,Partial,10/02/2017,10/16/2018,4,10453,40.84749,-73.92108,5,14,21501,2008982,2028780009,University Heights-Morris Heights
30777,118107,MN,144,WEST 19 STREET,143275,Habitability,Partial,02/28/2018,10/23/2018,6,10011,40.74099,-73.99592,4,3,87,1014723,1007940064,Hudson Yards-Chelsea-Flatiron-Union Square
95440,221639,BX,80,MC CLELLAN STREET,134143,Fire Damage,Partial,11/16/2016,05/10/2017,1,10452,40.83373,-73.92094,4,16,195,2002948,2024780030,West Concourse                                                             
35533,124355,MN,111,WEST 77 STREET,122553,Fire Damage,Partial,04/14/2015,10/04/2018,1,10024,40.78092,-73.97705,7,6,161,1030207,1011490027,Upper West Side
95433,223957,BX,2059,MC GRAW AVENUE,95585,Fire Damage,Partial,05/29/2012,,1,10462,40.83557,-73.85601,9,18,212,2096656,2039387501,Parkchester                                                                
149867,360208,BK,850,42 STREET,141164,Fire Damage,Partial,10/26/2017,10/05/2018,4,11232,40.64492,-73.99794,12,38,92,3018347,3009250027,Sunset Park East
249576,313393,BK,55,EAST 21 STREET,146124,Fire Damage,Partial,10/30/2018,,1,11226,40.65320,-73.96053,14,40,50803,3116155,3050630009,Flatbush
76063,206571,BX,1334,ELDER AVENUE,140731,Fire Damage,Partial,10/18/2017,10/24/2018,2,10472,40.83195,-73.87994,9,18,56,2027423,2038630022,West Farms-Bronx River
951838,914832,QN,104-69,SPRINGFIELD BOULEVARD,118900,Illegal Occupancy,Partial,08/22/2014,,1,11429,40.71171,-73.73662,13,27,582,4537016,4111630009,Queens Village                                                             
180247,300113,BK,1702,86 STREET,143856,Illegal Occupancy,Partial,04/19/2018,10/04/2018,1,11214,40.60850,-74.00471,11,43,178,3166499,3063660039,Bath Beach
951138,712773,BX,2108,ELLIS AVENUE,113898,Habitability,Entire Building,01/27/2014,,2,10462,40.83231,-73.85363,9,18,92,2092864,2038120009,Westchester-Unionport                                                      
95027,221029,BX,3005,MATTHEWS AVENUE,122258,Illegal Occupancy,Partial,03/12/2015,,2,10467,40.86993,-73.86244,12,12,340,2055694,2045720047,Bronxdale                                                                  
95026,206614,BX,3003,MATTHEWS AVENUE,110520,Illegal Occupancy,Partial,07/24/2013,,1,10467,40.86991,-73.86245,12,12,340,2055656,2045720001,Bronxdale                                                                  
168689,326314,BK,929,71 STREET,144237,Fire Damage,Partial,05/18/2018,10/18/2018,2,11228,40.62733,-74.01290,10,43,208,3146863,3058970058,Dyker Heights
95018,205982,BX,2765,MATTHEWS AVENUE,115657,Fire Damage,Partial,04/29/2014,,2,10467,40.86638,-73.86256,11,13,340,2053760,2045130033,Bronxdale                                                                  
949916,226997,BX,2745,LURTING AVENUE,121097,Illegal Occupancy,Partial,01/16/2015,04/28/2015,1,10469,40.86614,-73.85678,11,13,344,2053928,2045190039,Allerton-Pelham Gardens                                                    
